userId,movieId,rating
1342,69524,2
2730,1089,2
6501,2791,4
3704,4979,4
792,45672,4
10306,818,3
4740,1264,4
5884,805,3
9742,92420,5
997,51931,3
4832,6188,3
6536,1274,4
9022,2353,3
2775,92307,3
7759,2542,4
4670,457,4
1171,1240,4
3804,34162,3
2429,26631,3
1800,8464,3
4973,68157,3
9750,3247,3
904,6711,5
2473,1231,4
6040,1094,4
7950,6947,2
3472,5046,4
3831,139644,5
9852,97172,2
8618,7004,3
1179,427,2
4348,1917,2
1745,47200,3
8625,457,2
2838,344,3
440,344,3
6033,6619,4
9082,79132,3
6066,158,3
72,2802,4
2778,50798,2
864,303,2
7369,33794,5
164,1917,3
948,2085,4
632,5970,4
9489,377,4
2738,88140,1
7589,1358,5
5298,65,3
8113,2502,4
5188,134853,5
3311,2950,1
4642,160980,4
3829,1923,4
1977,45517,3
6219,98809,3
9314,2706,4
10235,106696,4
9062,1079,4
3704,3006,4
7801,1035,4
9205,254,2
2137,1693,3
4654,1952,3
3274,3424,5
3704,2282,2
208,59369,2
5588,4993,3
5980,2863,4
7901,58559,5
7964,1212,2
4467,908,3
8627,477,4
847,8622,2
997,119155,2
10242,43708,2
8069,1673,4
7658,1371,3
4775,5322,3
10109,99114,5
6619,592,3
993,69122,3
9322,1259,5
3164,45672,5
3470,5105,3
8619,4083,3
5995,173291,4
2469,49110,2
4052,196,3
2382,3083,5
10186,72737,3
9342,543,5
1401,5874,2
541,648,4
8316,1028,3
7803,96861,3
9361,5266,4
364,2176,4
4121,1544,1
8952,2724,4
8528,7458,3
1866,8985,2
8995,54001,5
9797,150,3
2653,109848,4
5177,1282,5
6797,7451,4
9031,3263,4
8019,608,2
5955,1947,3
2032,6773,4
9004,593,1
4737,32,4
6359,1,4
803,3800,4
2801,172,3
9809,3617,2
4872,132632,3
2177,844,4
2104,5,2
8623,139385,4
4700,6957,4
7695,51540,4
924,5903,4
6811,97752,4
4825,97923,3
964,1079,4
2297,296,4
6916,948,3
6058,2382,3
1330,47124,3
8539,736,5
4100,262,1
9863,101529,3
2568,1260,4
8295,1231,5
1321,5445,4
9620,7009,3
268,2000,5
8544,48780,5
6021,47610,4
4969,78469,2
3216,111362,4
865,4584,5
9294,7153,3
1876,87430,3
3941,70,4
1644,256,1
8441,1717,3
9116,143859,3
8917,5110,3
9941,45186,4
2926,54881,5
10304,902,5
2760,1339,3
2463,555,4
2662,7451,4
9397,802,3
3396,4022,3
3083,81140,3
10363,741,4
7538,3624,2
5854,6539,4
2850,3273,2
8367,3528,2
772,915,4
5754,594,3
10076,786,2
8649,5991,1
6550,2641,3
8553,52,3
6793,2628,2
6752,77561,4
8673,1621,5
6263,70286,3
481,73017,4
7653,3499,3
5405,2949,4
1959,480,4
4100,640,3
9396,44828,5
2984,106487,5
9085,4069,3
159,4306,4
6751,1196,4
6892,163,2
1228,91542,2
477,5218,4
846,2863,4
256,305,1
521,48,3
8442,6934,3
5475,204,2
3504,85179,1
1031,551,3
912,72393,1
9142,588,4
7618,1252,5
9140,1476,4
4257,72998,4
9703,356,4
2878,2115,4
9232,665,5
1792,3476,5
10033,8228,4
4405,55820,4
7497,48,3
7403,2366,5
1585,193958,4
6752,866,3
4427,315,3
891,44613,3
304,1379,2
9133,1884,4
9424,1213,3
10348,6377,4
10262,98809,3
6021,64614,4
4671,78469,3
5898,6539,3
7657,1923,1
2243,1200,4
9620,4212,3
9295,99112,2
1832,1127,4
4346,471,4
10230,8361,4
8220,110,4
8797,357,3
1118,4370,4
8017,235,2
7609,899,4
1401,5528,4
726,7,3
6327,1224,5
4334,1208,4
9928,69526,4
8149,74532,3
8441,7022,4
4923,950,4
2444,6338,3
9779,1189,5
3938,84601,3
9687,4988,3
7636,380,4
2420,72737,3
5366,230,3
3592,260,5
8883,508,3
3485,5500,4
6391,2248,5
9676,144,3
9876,5,3
7841,122892,3
7455,8528,4
2453,2291,4
3964,260,4
8215,2761,4
9701,317,3
1036,1256,3
6684,455,3
4383,158528,3
6621,1196,2
10126,2858,4
9146,500,5
2564,1230,3
5087,1237,4
5639,44555,5
2700,515,5
285,3921,3
7784,70641,2
5349,3361,4
9957,1394,5
2503,750,5
4401,102445,1
1146,4993,4
2630,3271,4
4774,27266,3
6834,58559,5
107,5377,3
7248,4989,2
2658,4857,4
3070,40815,3
9116,165951,3
8502,1617,4
3072,110,4
4145,1672,2
4741,8873,4
630,500,3
2536,3556,4
613,3481,4
4377,1921,5
6002,10,4
686,780,5
2105,260,5
5033,1,3
1503,4036,3
8482,3253,4
2177,5832,2
548,112988,2
487,2722,5
2580,2057,4
4041,7139,4
8966,3897,4
7323,38095,3
4255,87485,2
9179,2843,4
9681,79132,5
450,97699,2
494,6281,3
3503,89118,4
8369,1573,2
9776,2310,4
7895,1292,5
6542,148626,5
4294,5611,3
3150,74355,2
5132,166635,4
1141,608,5
7611,3578,3
5666,110,5
6927,1584,5
2613,107406,4
4693,3114,3
1636,780,3
2594,802,3
6462,6503,3
2003,111759,4
9021,2010,5
3182,4673,3
8804,5952,4
8153,3717,1
7403,1340,5
4591,122904,3
9852,653,4
7416,1732,3
581,480,4
764,778,5
6398,3045,3
2679,4036,1
9299,1597,3
2342,2571,5
5376,838,5
6157,4474,3
6175,6373,2
10197,56775,3
9620,1240,3
4515,595,4
3829,2382,4
9085,3980,3
3627,81639,4
157,4234,2
7343,11,4
9894,2502,2
8917,5942,1
3742,58347,3
10032,7562,4
4447,2028,4
5824,3350,4
8852,2125,4
1972,2763,4
3805,904,4
2601,55732,5
2827,8961,3
294,98154,2
2460,6218,4
4105,647,4
4377,2109,4
10464,5066,1
3754,2793,1
6139,480,4
3578,2174,5
3190,1457,2
8208,4406,4
997,44022,3
4105,6296,3
7179,6874,1
598,8360,2
8315,440,3
6150,2959,5
9858,4359,3
7952,3872,3
2370,122916,4
4989,50,4
8271,356,4
7248,1453,2
6724,223,3
1157,2149,1
8528,97024,3
7002,1909,4
2811,39,2
5860,1333,4
1290,5152,4
9888,94677,5
2165,197175,2
7248,112,2
7666,5218,3
2982,552,2
6179,1250,5
10137,116951,5
1122,96306,4
1977,53582,3
5183,317,3
1427,64839,3
5545,112852,3
278,1287,5
5847,3761,5
4563,50872,4
4891,2321,3
6447,2384,5
6831,30793,4
1889,1608,4
9442,112,2
3514,1196,5
2360,1947,5
10445,2648,3
2335,2728,4
6274,2599,4
4956,1079,3
6982,2826,4
1386,4896,2
803,58334,3
469,1219,2
1652,7376,4
2816,31658,4
9508,32587,5
5669,1604,3
5316,1254,5
1867,253,3
6751,1258,5
5213,3081,4
983,2470,2
3513,5349,3
6991,1584,3
6884,4973,3
548,2443,4
6309,3386,4
7957,51662,3
3274,2311,4
4496,2355,3
4298,296,3
2515,2012,4
4253,122922,4
6499,1179,4
5978,2324,5
8128,1129,4
855,3169,4
7566,3675,3
5549,4880,5
2984,2858,5
1319,8638,4
3627,8665,3
4692,904,4
7969,107,4
9687,4526,3
6338,2028,4
10197,1080,3
3657,410,5
1639,87232,3
8619,70712,3
7954,380,4
8975,2124,3
9216,6377,4
2266,29,3
1748,479,3
4149,173527,3
10172,361,4
8689,112852,3
694,34,5
1365,1449,3
4636,2956,3
8150,73370,4
5870,1240,1
5784,733,4
9080,1285,5
3274,3608,4
10314,1057,5
2500,30825,3
6697,3752,2
7581,5630,2
2887,4016,4
1281,131656,2
5962,56174,4
8777,196,5
6961,6796,4
4691,1230,3
3053,541,5
5182,60037,1
6825,2001,4
23,1183,5
9205,5105,2
4580,49278,3
8939,866,5
6776,5377,4
6889,4498,2
8998,3289,4
8298,3793,3
3009,4306,5
8575,109487,5
5999,1321,4
3531,515,5
5727,3500,1
3778,55241,3
5523,3753,3
8906,142204,1
8619,3259,3
188,555,4
4,103384,2
8986,97938,4
6805,266,3
7934,43,4
6423,3168,4
5399,5669,4
4771,6539,5
6517,110591,3
9639,4318,2
4254,5,5
6602,5604,4
5796,282,3
1972,592,3
7903,288,2
8297,4034,3
9024,3300,4
2883,419,1
2317,73,4
628,103755,2
9937,1653,3
2147,296,4
8243,150,5
952,364,4
6836,2081,4
10202,1261,5
9922,58559,4
2982,3326,1
5038,801,4
6033,93326,4
1709,1206,4
10095,53996,4
2403,6754,3
4145,4979,4
7288,3549,5
777,2115,5
2976,3489,3
6184,109487,5
3787,595,2
7815,374,3
6422,8605,4
9922,253,3
999,1797,4
7793,2414,3
2861,1270,2
8027,5952,4
1245,553,4
9620,106918,4
6627,30812,3
2084,8907,4
3624,1358,4
1316,2700,4
4611,1212,5
4670,4654,3
1807,2027,2
2287,4020,1
3978,104218,1
6744,1198,5
2298,2396,5
10357,8368,3
7488,79132,5
3749,39,5
3989,59369,5
6303,1610,3
6873,17,3
9162,1214,1
1672,8761,3
1608,2985,1
5918,3996,4
6170,1344,4
5377,30848,4
9200,66097,3
2932,56757,4
6014,84152,5
8798,54286,5
2273,47,4
3302,5447,4
8299,4226,5
4775,2791,3
10413,185,2
9504,1196,5
10303,2554,4
3114,1732,4
4160,5791,2
6261,1393,4
8857,4027,4
7438,420,3
8769,1013,2
3273,356,4
2429,86332,3
5464,1261,3
8215,98239,1
10082,954,4
321,1193,4
4149,122922,4
132,2439,4
2379,3004,2
7575,2338,1
3870,364,4
8702,923,3
